WMU,Year,Spring Harvest,Fall Harvest,Total Harvest
54,2012,9,...,9
54,2013,11,...,11
54,2014,11,...,11
54,2015,9,...,9
54,2016,5,...,5
54,2017,13,...,13
54,2018,4,…,4
54,2019,18,...,18
54,2020,20,...,20
54,2021,19,...,19
54,2022,27,...,27
54,2023,44,…,44
54,2024,32,...,32
55,2008,41,...,41
55,2009,23,...,23
55,2010,33,...,33
55,2011,43,...,43
55,2012,41,...,41
55,2013,41,...,41
55,2014,27,...,27
55,2015,31,...,31
55,2016,27,...,27
55,2017,27,...,27
55,2018,18,…,18
55,2019,93,...,93
55,2020,85,...,85
55,2021,92,...,92
55,2022,82,...,82
55,2023,80,…,80
55,2024,88,...,88
56,2008,74,...,74
56,2009,73,...,73
56,2010,58,...,58
56,2011,50,...,50
56,2012,61,...,61
56,2013,73,...,73
56,2014,59,...,59
56,2015,46,...,46
56,2016,63,...,63
56,2017,54,...,54
56,2018,42,…,42
56,2019,104,...,104
56,2020,114,...,114
56,2021,153,...,153
56,2022,105,...,105
56,2023,111,…,111
56,2024,139,...,139
57,2009,5,...,5
57,2010,13,...,13
57,2011,19,...,19
57,2012,12,...,12
57,2013,24,...,24
57,2014,18,...,18
57,2015,23,...,23
57,2016,19,...,19
57,2017,32,...,32
57,2018,26,…,26
57,2019,62,...,62
57,2020,53,...,53
57,2021,80,...,80
57,2022,83,...,83
57,2023,65,…,65
57,2024,107,...,107
58,2008,33,...,33
58,2009,32,...,32
58,2010,27,...,27
58,2011,45,...,45
58,2012,36,...,36
58,2013,37,...,37
58,2014,29,...,29
58,2015,23,...,23
58,2016,30,...,30
58,2017,22,...,22
58,2018,21,…,21
58,2019,56,...,56
58,2020,80,...,80
58,2021,70,...,70
58,2022,77,...,77
58,2023,76,…,76
58,2024,77,...,77
59,2008,243,...,243
59,2009,254,...,254
59,2010,269,...,269
59,2011,300,...,300
59,2012,251,...,251
59,2013,258,...,258
59,2014,199,14,213
59,2015,214,14,228
59,2016,205,11,216
59,2017,219,6,225
59,2018,189,9,198
59,2019,351,20,371
59,2020,424,31,455
59,2021,376,26,402
59,2022,360,23,384
59,2023,395,16,411
59,2024,450,28,478
60,2008,142,...,142
60,2009,118,...,118
60,2010,118,...,118
60,2011,143,...,143
60,2012,155,...,155
60,2013,127,...,127
60,2014,115,...,115
60,2015,110,...,110
60,2016,114,...,114
60,2017,156,...,156
60,2018,141,…,141
60,2019,306,...,306
60,2020,334,...,334
60,2021,300,...,300
60,2022,283,48,331
60,2023,288,18,306
60,2024,280,33,313
61,2008,29,...,29
61,2009,27,...,27
61,2010,21,...,21
61,2011,41,...,41
61,2012,37,...,37
61,2013,30,...,30
61,2014,27,...,27
61,2015,27,...,27
61,2016,32,...,32
61,2017,46,...,46
61,2018,36,…,36
61,2019,84,...,84
61,2020,90,...,90
61,2021,82,...,82
61,2022,94,...,94
61,2023,108,…,108
61,2024,96,...,96
62,2008,43,...,43
62,2009,40,...,40
62,2010,41,...,41
62,2011,60,...,60
62,2012,48,...,48
62,2013,62,...,62
62,2014,49,...,49
62,2015,48,...,48
62,2016,45,...,45
62,2017,49,...,49
62,2018,37,…,37
62,2019,136,...,136
62,2020,149,...,149
62,2021,144,...,144
62,2022,150,...,150
62,2023,153,…,153
62,2024,163,...,163
63,2008,129,...,129
63,2009,94,...,94
63,2010,123,...,123
63,2011,141,...,141
63,2012,129,...,129
63,2013,114,...,114
63,2014,83,...,83
63,2015,75,...,75
63,2016,88,...,88
63,2017,89,...,89
63,2018,84,…,84
63,2019,267,...,267
63,2020,254,...,254
63,2021,238,...,238
63,2022,248,28,276
63,2023,269,9,278
63,2024,270,18,288
64,2008,312,33,345
64,2009,311,35,346
64,2010,294,22,316
64,2011,302,20,322
64,2012,269,19,288
64,2013,253,23,276
64,2014,198,27,225
64,2015,182,23,205
64,2016,213,14,227
64,2017,227,9,236
64,2018,191,12,203
64,2019,494,41,535
64,2020,630,59,688
64,2021,579,45,624
64,2022,535,40,574
64,2023,529,41,570
64,2024,571,44,615
65,2008,492,...,492
65,2009,528,27,555
65,2010,535,41,576
65,2011,588,41,629
65,2012,608,45,653
65,2013,664,44,708
65,2014,553,35,588
65,2015,540,29,569
65,2016,616,30,646
65,2017,667,33,700
65,2018,680,32,712
65,2019,1332,95,1428
65,2020,1487,126,1613
65,2021,1464,91,1554
65,2022,1440,113,1553
65,2023,1450,72,1522
65,2024,1445,72,1517
67,2008,358,20,378
67,2009,269,18,287
67,2010,284,24,308
67,2011,246,23,269
67,2012,236,24,260
67,2013,258,7,265
67,2014,194,22,216
67,2015,192,11,203
67,2016,203,11,214
67,2017,226,8,234
67,2018,204,10,214
67,2019,570,33,603
67,2020,699,40,739
67,2021,556,41,597
67,2022,581,30,611
67,2023,599,25,623
67,2024,614,40,654
68,2008,182,14,196
68,2009,176,13,189
68,2010,133,8,141
68,2011,151,12,163
68,2012,140,8,148
68,2013,141,8,149
68,2014,101,12,113
68,2015,120,3,123
68,2016,108,7,115
68,2017,141,6,147
68,2018,149,3,152
68,2019,475,23,497
68,2020,471,27,498
68,2021,456,27,483
68,2022,404,16,420
68,2023,433,22,455
68,2024,403,25,429
69,2008,97,...,97
69,2009,94,...,94
69,2010,93,...,93
69,2011,93,...,93
69,2012,72,...,72
69,2013,79,...,79
69,2014,72,...,72
69,2015,73,...,73
69,2016,84,...,84
69,2017,79,...,79
69,2018,89,…,89
69,2019,246,...,246
69,2020,273,...,273
69,2021,301,...,301
69,2022,262,14,276
69,2023,253,10,263
69,2024,270,13,283
70,2008,164,...,164
70,2009,125,...,125
70,2010,116,...,116
70,2011,136,...,136
70,2012,117,...,117
70,2013,112,...,112
70,2014,103,...,103
70,2015,95,...,95
70,2016,83,...,83
70,2017,109,...,109
70,2018,85,…,85
70,2019,246,...,246
70,2020,251,...,251
70,2021,201,...,201
70,2022,204,11,215
70,2023,184,4,188
70,2024,200,9,209
71,2008,128,...,128
71,2009,90,...,90
71,2010,97,...,97
71,2011,76,...,76
71,2012,66,...,66
71,2013,86,...,86
71,2014,71,...,71
71,2015,81,...,81
71,2016,82,...,82
71,2017,79,...,79
71,2018,86,…,86
71,2019,219,...,219
71,2020,184,...,184
71,2021,194,...,194
71,2022,189,...,189
71,2023,190,…,190
71,2024,203,...,203
72,2008,162,...,162
72,2009,127,...,127
72,2010,151,...,151
72,2011,157,...,157
72,2012,142,...,142
72,2013,171,...,171
72,2014,172,...,172
72,2015,202,...,202
72,2016,117,...,117
72,2017,208,...,208
72,2018,210,…,210
72,2019,438,...,438
72,2020,459,7,466
72,2021,463,7,470
72,2022,373,12,385
72,2023,398,12,411
72,2024,385,23,408
73,2008,473,24,497
73,2009,339,16,355
73,2010,290,23,313
73,2011,311,18,329
73,2012,314,16,330
73,2013,326,19,345
73,2014,285,11,296
73,2015,324,19,343
73,2016,262,9,271
73,2017,301,18,319
73,2018,272,18,290
73,2019,637,48,685
73,2020,733,55,788
73,2021,663,43,706
73,2022,560,48,608
73,2023,597,39,637
73,2024,630,46,676
74,2008,107,...,107
74,2009,126,...,126
74,2010,105,...,105
74,2011,136,...,136
74,2012,124,...,124
74,2013,117,...,117
74,2014,112,...,112
74,2015,113,...,113
74,2016,111,...,111
74,2017,123,...,123
74,2018,90,…,90
74,2019,257,...,257
74,2020,329,...,329
74,2021,285,...,285
74,2022,283,12,295
74,2023,260,15,275
74,2024,250,14,264
75,2008,134,...,134
75,2009,133,...,133
75,2010,164,...,164
75,2011,189,...,189
75,2012,168,...,168
75,2013,191,...,191
75,2014,151,...,151
75,2015,170,...,170
75,2016,158,...,158
75,2017,170,...,170
75,2018,119,…,119
75,2019,315,...,315
75,2020,344,...,344
75,2021,354,...,354
75,2022,307,21,328
75,2023,316,29,346
75,2024,328,22,350
76,2008,619,42,661
76,2009,396,21,417
76,2010,350,15,365
76,2011,296,16,312
76,2012,241,19,260
76,2013,274,11,285
76,2014,219,10,229
76,2015,236,9,245
76,2016,223,10,233
76,2017,230,11,241
76,2018,219,17,236
76,2019,421,20,441
76,2020,610,31,642
76,2021,522,24,545
76,2022,511,33,544
76,2023,520,31,551
76,2024,482,24,507
77,2008,300,15,315
77,2009,244,11,255
77,2010,217,17,234
77,2011,215,6,221
77,2012,162,3,165
77,2013,187,11,198
77,2014,147,14,161
77,2015,150,10,160
77,2016,139,8,147
77,2017,143,3,146
77,2018,102,4,106
77,2019,396,24,420
77,2020,463,46,509
77,2021,371,35,406
77,2022,376,19,395
77,2023,368,22,391
77,2024,348,10,358
78,2008,484,39,523
78,2009,381,21,402
78,2010,332,18,350
78,2011,297,16,313
78,2012,292,18,310
78,2013,303,21,324
78,2014,257,12,269
78,2015,273,11,284
78,2016,251,10,261
78,2017,239,17,256
78,2018,248,16,264
78,2019,576,48,623
78,2020,717,49,766
78,2021,714,63,778
78,2022,619,35,654
78,2023,632,36,668
78,2024,590,33,624
79,2008,49,...,49
79,2009,49,...,49
79,2010,66,...,66
79,2011,54,...,54
79,2012,54,...,54
79,2013,61,...,61
79,2014,50,...,50
79,2015,58,...,58
79,2016,50,...,50
79,2017,49,...,49
79,2018,41,…,41
79,2019,91,...,91
79,2020,144,...,144
79,2021,108,...,108
79,2022,95,...,95
79,2023,133,…,133
79,2024,88,...,88
80,2008,371,...,371
80,2009,349,26,375
80,2010,363,11,374
80,2011,341,20,361
80,2012,349,16,365
80,2013,332,18,350
80,2014,256,9,265
80,2015,267,10,277
80,2016,277,13,290
80,2017,272,12,284
80,2018,296,17,313
80,2019,709,49,758
80,2020,793,56,849
80,2021,788,29,817
80,2022,680,48,728
80,2023,690,46,736
80,2024,721,48,770
81,2008,349,27,376
81,2009,271,17,288
81,2010,241,12,253
81,2011,218,15,233
81,2012,175,10,185
81,2013,202,8,210
81,2014,132,3,135
81,2015,173,7,180
81,2016,132,3,135
81,2017,128,2,130
81,2018,124,4,128
81,2019,373,23,396
81,2020,441,50,491
81,2021,412,35,447
81,2022,368,37,406
81,2023,385,30,415
81,2024,319,24,343
82,2008,692,49,741
82,2009,608,36,644
82,2010,561,30,591
82,2011,475,16,491
82,2012,434,13,447
82,2013,439,8,447
82,2014,361,14,375
82,2015,408,18,426
82,2016,353,10,363
82,2017,351,14,365
82,2018,384,9,393
82,2019,984,38,1023
82,2020,1079,59,1138
82,2021,963,46,1009
82,2022,924,47,970
82,2023,901,39,940
82,2024,945,38,983
84,2008,400,28,428
84,2009,357,14,371
84,2010,360,13,373
84,2011,317,10,327
84,2012,283,6,289
84,2013,258,5,263
84,2014,251,7,258
84,2015,271,7,278
84,2016,337,3,340
84,2017,285,4,289
84,2018,260,11,271
84,2019,643,20,663
84,2020,634,29,663
84,2021,643,26,669
84,2022,682,19,701
84,2023,701,19,721
84,2024,705,16,721
85,2008,312,...,312
85,2009,314,12,326
85,2010,337,13,350
85,2011,267,8,275
85,2012,248,5,253
85,2013,297,5,302
85,2014,236,10,246
85,2015,273,9,282
85,2016,354,10,364
85,2017,355,9,364
85,2018,334,6,340
85,2019,757,23,779
85,2020,893,40,933
85,2021,870,24,894
85,2022,740,19,759
85,2023,790,21,811
85,2024,833,34,867
86,2008,166,...,166
86,2009,163,...,163
86,2010,190,...,190
86,2011,173,...,173
86,2012,181,...,181
86,2013,161,...,161
86,2014,119,...,119
86,2015,125,...,125
86,2016,121,...,121
86,2017,165,...,165
86,2018,185,…,185
86,2019,414,...,414
86,2020,497,...,497
86,2021,475,...,475
86,2022,396,12,408
86,2023,425,12,437
86,2024,419,15,434
87,2008,202,...,202
87,2009,242,4,246
87,2010,214,11,225
87,2011,205,7,212
87,2012,180,3,183
87,2013,185,8,193
87,2014,145,4,149
87,2015,160,3,163
87,2016,161,3,164
87,2017,184,9,193
87,2018,172,5,177
87,2019,421,16,437
87,2020,460,35,495
87,2021,439,20,459
87,2022,406,16,423
87,2023,414,15,428
87,2024,402,23,425
88,2008,59,...,59
88,2009,39,...,39
88,2010,36,...,36
88,2011,30,...,30
88,2012,22,...,22
88,2013,33,...,33
88,2014,13,...,13
88,2015,13,...,13
88,2016,17,...,17
88,2017,11,...,11
88,2018,10,…,10
88,2019,55,...,55
88,2020,65,...,65
88,2021,43,...,43
88,2022,36,...,36
88,2023,34,…,34
88,2024,38,...,38
89,2008,385,30,415
89,2009,333,20,353
89,2010,312,16,328
89,2011,224,9,233
89,2012,221,19,240
89,2013,250,5,255
89,2014,164,7,171
89,2015,156,4,160
89,2016,154,5,159
89,2017,170,7,177
89,2018,185,12,197
89,2019,484,25,510
89,2020,519,29,548
89,2021,471,24,495
89,2022,394,20,414
89,2023,378,18,396
89,2024,372,23,395
90,2008,773,36,809
90,2009,634,14,648
90,2010,687,17,704
90,2011,559,22,581
90,2012,492,16,508
90,2013,467,14,481
90,2014,443,21,464
90,2015,464,23,487
90,2016,479,12,491
90,2017,531,15,546
90,2018,506,17,523
90,2019,1115,32,1147
90,2020,1065,42,1107
90,2021,1037,19,1056
90,2022,950,23,974
90,2023,949,35,984
90,2024,870,23,893
91,2008,244,...,244
91,2009,203,6,209
91,2010,215,10,225
91,2011,185,2,187
91,2012,184,2,186
91,2013,203,…,203
91,2014,213,5,218
91,2015,203,4,207
91,2016,178,4,182
91,2017,181,5,186
91,2018,175,2,177
91,2019,454,12,465
91,2020,547,25,572
91,2021,486,9,495
91,2022,423,16,439
91,2023,447,7,454
91,2024,392,7,399
92,2008,747,47,794
92,2009,733,34,767
92,2010,728,35,763
92,2011,588,24,612
92,2012,620,21,641
92,2013,631,15,646
92,2014,548,15,563
92,2015,565,20,585
92,2016,483,14,497
92,2017,587,19,606
92,2018,577,16,593
92,2019,1356,24,1380
92,2020,1302,30,1332
92,2021,1149,12,1161
92,2022,1014,20,1034
92,2023,1048,20,1068
92,2024,1108,22,1130
93,2008,376,23,399
93,2009,404,13,417
93,2010,352,13,365
93,2011,305,6,311
93,2012,298,4,302
93,2013,249,4,253
93,2014,262,5,267
93,2015,262,7,269
93,2016,239,7,246
93,2017,265,5,270
93,2018,260,7,267
93,2019,585,26,612
93,2020,612,20,632
93,2021,652,16,668
93,2022,572,16,588
93,2023,602,6,607
93,2024,548,15,563
94,2008,118,...,118
94,2009,151,...,151
94,2010,167,...,167
94,2011,176,...,176
94,2012,185,...,185
94,2013,174,...,174
94,2014,128,...,128
94,2015,192,...,192
94,2016,167,...,167
94,2017,184,5,189
94,2018,162,7,169
94,2019,364,16,380
94,2020,360,15,375
94,2021,357,24,381
94,2022,356,23,379
94,2023,417,17,434
94,2024,437,22,459
95,2008,65,...,65
95,2009,63,...,63
95,2010,67,...,67
95,2011,56,...,56
95,2012,50,...,50
95,2013,50,...,50
95,2014,48,...,48
95,2015,40,...,40
95,2016,34,...,34
95,2017,52,...,52
95,2018,44,…,44
95,2019,80,...,80
95,2020,25,...,25
95,2021,88,...,88
95,2022,81,...,81
95,2023,86,…,86
95,2024,64,...,64
66A,2008,220,...,220
66A,2009,173,12,185
66A,2010,166,12,178
66A,2011,165,7,172
66A,2012,164,7,171
66A,2013,136,6,142
66A,2014,106,5,111
66A,2015,97,3,100
66A,2016,108,5,113
66A,2017,125,8,133
66A,2018,95,5,100
66A,2019,264,20,284
66A,2020,315,15,330
66A,2021,295,17,312
66A,2022,245,8,253
66A,2023,294,15,309
66A,2024,291,17,308
83A,2008,46,...,46
83A,2009,37,...,37
83A,2010,30,...,30
83A,2011,33,...,33
83A,2012,32,...,32
83A,2013,22,...,22
83A,2014,13,...,13
83A,2015,22,...,22
83A,2016,12,...,12
83A,2017,12,...,12
83A,2018,19,…,19
83A,2019,60,...,60
83A,2020,85,...,85
83A,2021,82,...,82
83A,2022,72,...,72
83A,2023,82,…,82
83A,2024,88,...,88
Total,2008,10492,427,10919
Total,2009,9252,370,9622
Total,2010,9086,361,9447
Total,2011,8560,298,8858
Total,2012,8079,274,8353
Total,2013,8274,240,8514
Total,2014,6912,262,7174
Total,2015,7262,244,7506
Total,2016,7102,199,7301
Total,2017,7763,225,7988
Total,2018,7364,239,7603
Total,2019,17720,676,18396
Total,2020,19600,916,20516
Total,2021,18638,703,19341
Total,2022,17214,827,18041
Total,2023,17777,701,18478
Total,2024,17767,781,18548
